model,rmse
LinearRegression,46.78345609283682
Lasso,46.887095099346354
Ridge,46.782067276589316
ElasticNet,46.88229559401113
RandomForestRegressor,49.41476722429376
GradientBoostingRegressor,46.36560399538299
ExtraTreesRegressor,51.0552140655405
XGBRegressor,46.22869061779701
