model,rmse
LinearRegression,0.9837125491653017
Lasso,1.1127351807076886
Ridge,0.46567725019864753
ElasticNet,1.0717585780292525
RandomForestRegressor,0.37138048186444284
GradientBoostingRegressor,7.400790049975451
ExtraTreesRegressor,0.3609774554782123
XGBRegressor,0.35752672866025
